,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
1055,Эльвира Фролова,realtor,https://www.cian.ru/sale/flat/305579031/,Москва,sale,flat,9,9,1,18.8,5715000.0,Старое Крюково,Зеленоград,к814,Зеленоград — Крюково,My Space в Зеленограде
1056,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/308525822/,Москва,sale,flat,22,22,1,14.3,8280000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
1057,ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/305630536/,Москва,sale,flat,22,22,-1,14.3,8280000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
1058,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/296124514/,Москва,sale,flat,22,22,1,17.2,8780000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
1059,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/308525825/,Москва,sale,flat,22,22,1,17.2,8780000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
1060,ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/309630817/,Москва,sale,flat,22,22,-1,16.0,8880000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
1061,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/308525823/,Москва,sale,flat,22,22,1,16.0,8880000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
1062,ID 96167522,realtor,https://www.cian.ru/sale/flat/299789842/,Москва,sale,flat,9,9,1,36.9,8850000.0,Люблино, Верхние Поля,27С2,Братиславская,
1063,ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/305693861/,Москва,sale,flat,22,22,1,17.2,9110000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
1064,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/308381381/,Москва,sale,flat,22,22,1,17.2,9110000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
1065,Ирина Василевская,realtor,https://www.cian.ru/sale/flat/272828990/,Москва,sale,flat,6,17,1,38.0,9350000.0,, Авиаконструктора Петлякова,7,Пыхтино,Солнцево парк
1066,CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307377052/,Москва,sale,flat,14,18,-1,20.0,9500000.0,Останкинский,Березовая аллея,19к1,Ботанический сад,Апарт-комплекс Легендарный квартал
1067,Msk Estate,real_estate_agent,https://www.cian.ru/sale/flat/309247752/,Москва,sale,flat,3,22,1,20.8,9500000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
1068,BERI,real_estate_agent,https://www.cian.ru/sale/flat/305314134/,Москва,sale,flat,10,16,3,65.7,24490000.0,Таганский,Библиотечная ,13,Площадь Ильича,
1069,Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/308768570/,Москва,sale,flat,14,48,1,42.0,24500000.0,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
1070,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305189129/,Москва,sale,flat,10,21,3,76.97,28500000.0,Хорошевский, Зорге,9Ак1,Зорге,Зорге 9
1071,One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/299215919/,Москва,sale,flat,9,21,2,56.9,28999000.0,Хорошевский, Зорге,9Ак1,Зорге,Зорге 9
1072,One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/302359178/,Москва,sale,flat,25,31,3,73.91,29450000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
1073,One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/308536828/,Москва,sale,flat,14,28,2,67.0,30000000.0,Можайский,переулок 2-й Петра Алексеева,5,Рабочий посёлок,КутузовGRAD II
1074,ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/306867070/,Москва,sale,flat,16,36,1,41.1,30500000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
1075,Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/303877563/,Москва,sale,flat,19,28,3,85.0,30500000.0,Лефортово,проезд Невельского,1к1,Авиамоторная,Символ
1076,Северная слобода,real_estate_agent,https://www.cian.ru/sale/flat/284287955/,Москва,sale,flat,1,4,3,83.3,31100000.0,Северный,Дмитровское шоссе,122Гк1,Физтех,
1077,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306977986/,Москва,sale,flat,9,21,1,42.1,31900000.0,Басманный, Земляной Вал,37,Чкаловская,Дом Chkalov
1078,Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/309613620/,Москва,sale,flat,38,40,2,65.0,32000000.0,Обручевский,Ленинский проспект,111к1,Новаторская,Well House на Ленинском
1079,Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/307145183/,Москва,sale,flat,1,10,2,63.5,32900000.0,Хамовники,Оболенский переулок,7,Фрунзенская,
1080,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/288460035/,Москва,sale,flat,9,21,2,50.3,32900000.0,Басманный, Земляной Вал,37к1,Чкаловская,Дом Chkalov
1081,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308628895/,Москва,sale,flat,14,41,2,49.73,33000000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
1082,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/298391944/,Москва,sale,flat,3,26,3,95.0,34000000.0,Лефортово, Крузенштерна,12к3,Авиамоторная,Символ
1083,One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/308475472/,Москва,sale,flat,7,19,2,77.0,35300000.0,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
1084,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/298534723/,Москва,sale,flat,12,51,3,76.0,36200000.0,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
1085,Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309675503/,Москва,sale,flat,7,41,2,48.0,39500000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
1086,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308335219/,Москва,sale,flat,15,23,2,100.8,40000000.0,Раменки, Пырьева,9к2,Поклонная,
1087,Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302295108/,Москва,sale,flat,10,46,2,58.5,39900000.0,Даниловский,Дубининская ,59А,Павелецкая,Павелецкая Сити
1088,Вертикаль,real_estate_agent,https://www.cian.ru/sale/flat/309249194/,Москва,sale,flat,3,25,3,102.0,41000000.0,Очаково-Матвеевское,Нежинская ,8К1,Матвеевская,Нежинский ковчег
1089,Villagio Moscow,real_estate_agent,https://www.cian.ru/sale/flat/309319026/,Москва,sale,flat,3,37,3,77.0,42000000.0,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха,
1090,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309472554/,Москва,sale,flat,13,17,2,46.1,41980000.0,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
1091,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/298534731/,Москва,sale,flat,31,39,4,106.0,44700000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
1092,Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/304966057/,Москва,sale,flat,6,33,3,69.0,44800000.0,Хорошево-Мневники,Причальный проезд,10А,Шелепиха,Level Причальный
1093,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/309195028/,Москва,sale,flat,14,26,3,87.0,45000000.0,Хорошевский,проезд Березовой Рощи,12,ЦСКА,Гранд-парк
